------
Drone: 1
id=0, command=command, response=None, start_time=2023-03-16 11:49:37.766331, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-16 11:49:42.782318, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-16 11:49:47.794902, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-16 11:49:52.808052, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-16 11:49:57.821881, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-16 11:50:02.836433, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-16 11:50:07.849238, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-16 11:50:12.857417, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-16 11:50:17.868896, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-16 11:50:22.886329, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-16 11:50:27.898501, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-16 11:50:32.909847, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-16 11:50:37.924402, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-16 11:50:42.939737, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-16 11:50:47.946664, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-16 11:50:52.966831, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-16 11:50:57.979379, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-16 11:51:02.994563, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-16 11:51:08.007060, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-16 11:51:13.025306, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-16 11:51:18.041435, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-03-16 11:51:23.049567, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-03-16 11:51:28.054950, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-03-16 11:51:33.063444, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-03-16 11:51:38.067124, end_time=None, duration=None
id=25, command=command, response=None, start_time=2023-03-16 11:51:43.072240, end_time=None, duration=None
id=26, command=command, response=None, start_time=2023-03-16 11:51:48.085183, end_time=None, duration=None
id=27, command=command, response=None, start_time=2023-03-16 11:51:53.100872, end_time=None, duration=None
id=28, command=command, response=None, start_time=2023-03-16 11:51:58.118165, end_time=None, duration=None
id=29, command=command, response=None, start_time=2023-03-16 11:52:03.135322, end_time=None, duration=None
id=30, command=command, response=None, start_time=2023-03-16 11:52:08.145490, end_time=None, duration=None
id=31, command=command, response=None, start_time=2023-03-16 11:52:13.159196, end_time=None, duration=None
id=32, command=command, response=None, start_time=2023-03-16 11:52:18.176257, end_time=None, duration=None
id=33, command=command, response=None, start_time=2023-03-16 11:52:23.186902, end_time=None, duration=None
id=34, command=command, response=None, start_time=2023-03-16 11:52:28.198426, end_time=None, duration=None
id=35, command=command, response=None, start_time=2023-03-16 11:52:33.214736, end_time=None, duration=None
id=36, command=command, response=None, start_time=2023-03-16 11:52:38.230524, end_time=None, duration=None
id=37, command=command, response=None, start_time=2023-03-16 11:52:43.239089, end_time=None, duration=None
id=38, command=command, response=None, start_time=2023-03-16 11:52:48.246307, end_time=None, duration=None
------
Drone: 2
id=0, command=command, response=None, start_time=2023-03-16 11:49:37.767330, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-16 11:49:42.782318, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-16 11:49:47.794902, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-16 11:49:52.808225, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-16 11:49:57.823031, end_time=None, duration=None
