------
Drone: 1
id=0, command=command, response=None, start_time=2023-04-03 15:31:40.656035, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:31:45.700893, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:31:50.723681, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:31:55.745616, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:32:00.773430, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:32:05.787714, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:32:10.799025, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:32:15.826215, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:32:20.846441, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:32:25.867327, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:32:30.893643, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:32:35.923545, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:32:40.960135, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:32:45.989196, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:32:51.025959, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:32:56.062542, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:33:01.090516, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:33:06.103959, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:33:11.121076, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:33:16.146578, end_time=None, duration=None
------
Drone: 2
id=0, command=command, response=None, start_time=2023-04-03 15:31:40.656035, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:31:45.700893, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:31:50.723681, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:31:55.745616, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:32:00.774272, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:32:05.787714, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:32:10.799356, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:32:15.826215, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:32:20.846441, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:32:25.867327, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:32:30.893643, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:32:35.923545, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:32:40.960135, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:32:45.989196, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:32:51.026330, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:32:56.062542, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:33:01.090792, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:33:06.103959, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:33:11.122086, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:33:16.146578, end_time=None, duration=None
------
Drone: 3
id=0, command=command, response=None, start_time=2023-04-03 15:31:40.656794, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:31:45.700893, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:31:50.723681, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:31:55.745616, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:32:00.774272, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:32:05.787714, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:32:10.799356, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:32:15.826215, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:32:20.846441, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:32:25.867327, end_time=None, duration=None
