------
Drone: 1
id=0, command=command, response=None, start_time=2023-04-03 15:48:47.585276, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:48:52.628432, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:48:57.655567, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:49:02.678990, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:49:07.704740, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:49:12.720981, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:49:17.735686, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:49:22.760040, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:49:27.783903, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:49:32.807237, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:49:37.831460, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:49:42.847598, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:49:47.862733, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:49:52.884839, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:49:57.905076, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:50:02.927500, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:50:07.954552, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:50:12.980334, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:50:17.998339, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:50:23.017248, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:50:28.032833, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:50:33.048652, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:50:38.068716, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:50:43.091509, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:50:48.120609, end_time=None, duration=None
------
Drone: 2
id=0, command=command, response=None, start_time=2023-04-03 15:48:47.586117, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:48:52.629457, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:48:57.656525, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:49:02.678990, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:49:07.704740, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:49:12.720981, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:49:17.735686, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:49:22.760678, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:49:27.784903, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:49:32.807237, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:49:37.832412, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:49:42.847598, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:49:47.862733, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:49:52.885792, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:49:57.906090, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:50:02.927500, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:50:07.954552, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:50:12.981334, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:50:17.998339, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:50:23.017248, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:50:28.032833, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:50:33.048652, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:50:38.068716, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:50:43.091509, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:50:48.120609, end_time=None, duration=None
------
Drone: 3
id=0, command=command, response=None, start_time=2023-04-03 15:48:47.586117, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:48:52.629457, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:48:57.656525, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:49:02.678990, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:49:07.704740, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:49:12.720981, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:49:17.736238, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:49:22.760678, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:49:27.784903, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:49:32.808188, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:49:37.832412, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:49:42.847598, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:49:47.862733, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:49:52.885792, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:49:57.906090, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:50:02.927500, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:50:07.954552, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:50:12.981491, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:50:17.998339, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:50:23.017248, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:50:28.032833, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:50:33.048652, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:50:38.068716, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:50:43.092518, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:50:48.120609, end_time=None, duration=None
------
Drone: 4
id=0, command=command, response=None, start_time=2023-04-03 15:48:47.586117, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:48:52.629457, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:48:57.656525, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:49:02.678990, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:49:07.704740, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:49:12.720981, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:49:17.736238, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:49:22.760678, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:49:27.784903, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:49:32.808188, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:49:37.832412, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:49:42.847598, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:49:47.862733, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:49:52.885792, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:49:57.906090, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:50:02.927500, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:50:07.954552, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:50:12.981491, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:50:17.998339, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:50:23.017248, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:50:28.032833, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:50:33.048652, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:50:38.068716, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:50:43.092518, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:50:48.120609, end_time=None, duration=None
------
Drone: 5
id=0, command=command, response=None, start_time=2023-04-03 15:48:47.586117, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:48:52.629457, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:48:57.656525, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:49:02.678990, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:49:07.704740, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:49:12.720981, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:49:17.736238, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:49:22.760678, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:49:27.784903, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:49:32.808188, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:49:37.832412, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:49:42.847598, end_time=None, duration=None
