------
Drone: 1
id=0, command=command, response=ok, start_time=2023-03-20 16:33:45.815181, end_time=2023-03-20 16:33:46.016288, duration=0.201107
id=1, command=connect, response=None, start_time=2023-03-20 16:34:41.635963, end_time=None, duration=None
id=2, command=takeoff, response=ok, start_time=2023-03-20 16:35:01.728943, end_time=2023-03-20 16:35:05.709970, duration=3.981027
id=3, command=sync 5, response=unknown command: move_up, start_time=2023-03-20 16:35:05.789013, end_time=2023-03-20 16:35:25.932561, duration=20.143548
id=4, command=move_up 20, response=unknown command: backward, start_time=2023-03-20 16:35:26.031803, end_time=2023-03-20 16:35:46.073794, duration=20.041991
id=5, command=backward 15, response=error, start_time=2023-03-20 16:35:46.216540, end_time=2023-03-20 16:35:55.358773, duration=9.142233
id=6, command=land, response=unknown command: sleep, start_time=2023-03-20 16:35:55.389865, end_time=2023-03-20 16:35:55.468742, duration=0.078877
id=7, command=sleep 5, response=ok, start_time=2023-03-20 16:35:55.469029, end_time=2023-03-20 16:35:55.962112, duration=0.493083
id=8, command=land, response=ok, start_time=2023-03-20 16:35:56.106070, end_time=2023-03-20 16:35:56.541966, duration=0.435896
------
Drone: 2
id=0, command=command, response=ok, start_time=2023-03-20 16:33:45.815181, end_time=2023-03-20 16:33:46.124637, duration=0.309456
id=1, command=connect, response=error, start_time=2023-03-20 16:34:41.700035, end_time=2023-03-20 16:34:42.523494, duration=0.823459
id=2, command=takeoff, response=error, start_time=2023-03-20 16:34:42.702631, end_time=2023-03-20 16:34:43.527456, duration=0.824825
id=3, command=sync 5, response=error, start_time=2023-03-20 16:34:43.578015, end_time=2023-03-20 16:34:44.605101, duration=1.027086
id=4, command=move_up 20, response=error, start_time=2023-03-20 16:34:44.772869, end_time=2023-03-20 16:34:45.569423, duration=0.796554
id=5, command=backward 15, response=error, start_time=2023-03-20 16:34:45.623900, end_time=2023-03-20 16:34:46.606631, duration=0.982731
id=6, command=sleep 5, response=error, start_time=2023-03-20 16:34:46.697552, end_time=2023-03-20 16:34:47.556697, duration=0.859145
id=7, command=land, response=ok, start_time=2023-03-20 16:34:47.731868, end_time=2023-03-20 16:34:48.161515, duration=0.429647
id=8, command=land, response=error, start_time=2023-03-20 16:35:55.741757, end_time=2023-03-20 16:35:55.901055, duration=0.159298
------
Drone: 3
id=0, command=command, response=None, start_time=2023-03-20 16:33:45.815181, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-20 16:33:50.835913, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-20 16:33:55.871316, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-20 16:34:00.892425, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-20 16:34:05.914049, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-20 16:34:10.933584, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-20 16:34:15.953093, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-20 16:34:20.971709, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-20 16:34:25.992534, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-20 16:34:31.013395, end_time=None, duration=None
id=10, command=command, response=ok, start_time=2023-03-20 16:34:36.039105, end_time=2023-03-20 16:34:36.273124, duration=0.234019
id=11, command=connect, response=None, start_time=2023-03-20 16:34:41.526584, end_time=None, duration=None
id=12, command=takeoff, response=ok, start_time=2023-03-20 16:35:01.571273, end_time=2023-03-20 16:35:07.332363, duration=5.76109
id=13, command=sync 5, response=unknown command: sync, start_time=2023-03-20 16:35:07.365398, end_time=2023-03-20 16:35:07.398654, duration=0.033256
id=14, command=move_up 20, response=None, start_time=2023-03-20 16:35:07.555353, end_time=None, duration=None
id=15, command=backward 15, response=unknown command: backward, start_time=2023-03-20 16:35:27.600045, end_time=2023-03-20 16:35:27.663294, duration=0.063249
id=16, command=sleep 5, response=None, start_time=2023-03-20 16:35:27.743244, end_time=None, duration=None
id=17, command=land, response=error, start_time=2023-03-20 16:35:47.814567, end_time=2023-03-20 16:35:47.829909, duration=0.015342
id=18, command=land, response=ok, start_time=2023-03-20 16:35:55.994209, end_time=2023-03-20 16:35:56.456341, duration=0.462132
