------
Drone: 1
id=0, command=command, response=None, start_time=2023-04-03 02:27:52.390008, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 02:27:57.429514, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 02:28:02.449371, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 02:28:07.480564, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 02:28:12.510553, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 02:28:17.529513, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 02:28:22.564234, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 02:28:27.612532, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 02:28:32.652393, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 02:28:37.675356, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 02:28:42.705830, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 02:28:47.780572, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 02:28:52.824092, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 02:28:57.869197, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 02:29:02.904990, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 02:29:07.939947, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 02:29:12.969638, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 02:29:17.996072, end_time=None, duration=None
------
Drone: 2
id=0, command=command, response=None, start_time=2023-04-03 02:27:52.372259, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 02:27:57.424165, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 02:28:02.447315, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 02:28:07.475658, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 02:28:12.506383, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 02:28:17.525547, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 02:28:22.557231, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 02:28:27.605334, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 02:28:32.648398, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 02:28:37.670257, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 02:28:42.701395, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 02:28:47.766343, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 02:28:52.806921, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 02:28:57.865062, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 02:29:02.898996, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 02:29:07.935815, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 02:29:12.962507, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 02:29:17.992721, end_time=None, duration=None
------
Drone: 3
id=0, command=command, response=None, start_time=2023-04-03 02:27:52.373406, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 02:27:57.425174, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 02:28:02.447315, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 02:28:07.475658, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 02:28:12.506383, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 02:28:17.526539, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 02:28:22.557231, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 02:28:27.606333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 02:28:32.648398, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 02:28:37.670257, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 02:28:42.701395, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 02:28:47.767346, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 02:28:52.806921, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 02:28:57.865062, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 02:29:02.898996, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 02:29:07.935815, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 02:29:12.962507, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 02:29:17.993733, end_time=None, duration=None
------
Drone: 4
