------
Drone: 1
id=0, command=command, response=None, start_time=2023-03-16 12:22:27.669260, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-16 12:22:32.708893, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-16 12:22:37.721796, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-16 12:22:42.808734, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-16 12:22:47.873455, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-16 12:22:52.933172, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-16 12:22:57.939168, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-16 12:23:02.961651, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-16 12:23:07.980365, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-16 12:23:12.990010, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-16 12:23:18.007027, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-16 12:23:23.018376, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-16 12:23:28.042843, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-16 12:23:33.062331, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-16 12:23:38.080557, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-16 12:23:43.101332, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-16 12:23:48.117774, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-16 12:23:53.133917, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-16 12:23:58.149987, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-16 12:24:03.170955, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-16 12:24:08.273305, end_time=None, duration=None
------
Drone: 2
id=0, command=command, response=None, start_time=2023-03-16 12:22:27.669260, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-16 12:22:32.708893, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-16 12:22:37.721796, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-16 12:22:42.808734, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-16 12:22:47.873455, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-16 12:22:52.933172, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-16 12:22:57.939168, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-16 12:23:02.961651, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-16 12:23:07.980365, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-16 12:23:12.990943, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-16 12:23:18.007397, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-16 12:23:23.018376, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-16 12:23:28.043826, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-16 12:23:33.063253, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-16 12:23:38.080557, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-16 12:23:43.101332, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-16 12:23:48.118301, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-16 12:23:53.134103, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-16 12:23:58.149987, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-16 12:24:03.170955, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-16 12:24:08.274294, end_time=None, duration=None
------
Drone: 3
id=0, command=command, response=None, start_time=2023-03-16 12:22:27.669260, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-16 12:22:32.708893, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-16 12:22:37.721796, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-16 12:22:42.809342, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-16 12:22:47.873455, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-16 12:22:52.934176, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-16 12:22:57.939168, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-16 12:23:02.961651, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-16 12:23:07.980365, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-16 12:23:12.990943, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-16 12:23:18.007397, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-16 12:23:23.019196, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-16 12:23:28.043826, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-16 12:23:33.063253, end_time=None, duration=None
